company,ticker,year,quarter,filename,filepath
Accenture,ACN,2022,4,2022_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2022_Q4_acn_processed.txt
Accenture,ACN,2023,1,2023_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2023_Q1_acn_processed.txt
Accenture,ACN,2023,2,2023_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2023_Q2_acn_processed.txt
Accenture,ACN,2023,3,2023_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2023_Q3_acn_processed.txt
Accenture,ACN,2023,4,2023_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2023_Q4_acn_processed.txt
Accenture,ACN,2024,1,2024_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2024_Q1_acn_processed.txt
Accenture,ACN,2024,2,2024_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2024_Q2_acn_processed.txt
Accenture,ACN,2024,3,2024_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2024_Q3_acn_processed.txt
Accenture,ACN,2024,4,2024_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2024_Q4_acn_processed.txt
Adobe,ADBE,2018,1,2018_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2018_Q1_adbe_processed.txt
Adobe,ADBE,2018,2,2018_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2018_Q2_adbe_processed.txt
Adobe,ADBE,2018,3,2018_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2018_Q3_adbe_processed.txt
Adobe,ADBE,2018,4,2018_Q4_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2018_Q4_adbe_processed.txt
Adobe,ADBE,2019,1,2019_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2019_Q1_adbe_processed.txt
Adobe,ADBE,2019,2,2019_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2019_Q2_adbe_processed.txt
Adobe,ADBE,2019,3,2019_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2019_Q3_adbe_processed.txt
Adobe,ADBE,2019,4,2019_Q4_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2019_Q4_adbe_processed.txt
Adobe,ADBE,2020,1,2020_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2020_Q1_adbe_processed.txt
Adobe,ADBE,2020,2,2020_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2020_Q2_adbe_processed.txt
Adobe,ADBE,2020,3,2020_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2020_Q3_adbe_processed.txt
Adobe,ADBE,2020,4,2020_Q4_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2020_Q4_adbe_processed.txt
Adobe,ADBE,2021,1,2021_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2021_Q1_adbe_processed.txt
